Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Job Description,Minimum Qual Requirements,Preferred Skills,Additional Information,To Apply,Hours/Shift,Work Location 1,Recruitment Contact,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
87990,1,1,1,1,1,40563,1,1,1,42405,65485,1,1,1,1,1,1,1,1,1,1,1,1,2011-06-24,2018-11-02,2011-06-24,2018-10-16
97899,1,1,1,2,2,10009,2,1,2,60740,162014,1,1,2,2,2,2,2,2,1,1,1,1,2012-01-26,2018-11-02,2012-01-26,2018-10-16
102221,2,2,1,3,3,20616,3,1,2,43349,52496,1,2,3,3,3,2,3,3,2,1,1,2,2012-06-21,2018-11-02,2012-09-07,2018-10-16
102221,2,1,1,3,3,20616,3,1,2,43349,52496,1,2,3,3,3,2,3,3,2,1,1,2,2012-06-21,2018-11-02,2012-09-07,2018-10-16
114352,2,1,2,4,4,91639,3,1,2,109850,109850,1,3,4,4,4,2,4,4,3,2,1,1,2012-12-12,2018-11-02,2012-12-13,2018-10-16
117261,2,1,1,5,5,20202,3,1,2,43349,52496,1,4,5,5,5,2,5,5,4,3,1,2,2013-02-20,2018-11-02,2013-02-25,2018-10-16
117261,2,2,1,5,5,20202,3,1,2,43349,52496,1,4,5,5,5,2,5,5,4,3,1,2,2013-02-20,2018-11-02,2013-02-25,2018-10-16
120749,2,2,1,6,6,83008,4,2,2,90000,120000,1,4,6,6,6,3,2,5,5,4,1,2,2013-05-24,2018-11-02,2013-05-24,2018-10-16
120749,2,1,1,6,6,83008,4,2,2,90000,120000,1,4,6,6,6,3,2,5,5,4,1,2,2013-05-24,2018-11-02,2013-05-24,2018-10-16
124287,3,1,1,7,7,5072,3,3,2,32850,37778,1,5,7,7,7,4,6,6,6,1,1,1,2013-08-01,2018-11-02,2016-10-11,2018-10-16
124287,3,2,1,7,7,5072,3,3,2,32850,37778,1,5,7,7,7,4,6,6,6,1,1,1,2013-08-01,2018-11-02,2016-10-11,2018-10-16
124564,2,1,1,8,8,21744,5,4,2,63662,79899,1,4,8,8,8,2,7,7,7,3,1,1,2013-07-31,2018-11-02,2013-07-31,2018-10-16
124564,2,2,1,8,8,21744,5,4,2,63662,79899,1,4,8,8,8,2,7,7,7,3,1,1,2013-07-31,2018-11-02,2013-07-31,2018-10-16
